"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Tokyo Ghoul, Vol. 4 (4)","Ishida, Sui","VIZ Media LLC","2015-12-15","Paperback","192","東京喰種 / Tokyo Ghoul","4","English","9781421580395","","https://www.amazon.com/dp/142158039X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51vLL45oqgL._SL500_.jpg","Ghouls live among us, the same as normal people in every way—except their craving for human flesh. Ken Kaneki is an ordinary college student until a violent encounter turns him into the first half-human half-ghoul hybrid. Trapped between two worlds, he must survive Ghoul turf wars, learn more about Ghoul society and master his new powers.

Kaneki meets Shu Tsukiyama, known as The Gourmet for his interesting and sadistic tastes. And Kaneki learns more about what happened to Rize and what it means to be a One-Eyed Ghoul.","","7.89","Fantasy","4.36","07/18/2025","","","","","","","","Tokyo Ghoul"
"Too Many Losing Heroines! (Light Novel) Vol. 1","Amamori, Takibi; , Imigimuru","Airship","2024-08-13","Paperback","248","","1","English","9798891603073","","https://www.amazon.com/dp/B0CVTQVGDM?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51rQWIAgcNL._SL500_.jpg","This series examines five countries that surround our island continent. The books focus on life in the country, as well as history, geography, cities and countryside, conflicts, work, food and recreation. Australia's particular relationship with each country is also examined, including a focus on trade, movement of people for work and leisure and emergency assistance provided by Australia. Suitable for 10-14 year olds.","","14.87","TV, Movie, Video Game Adaptations","4.37","07/18/2025","","","","","","","","Too Many Losong Heroines"
"Too Many Losing Heroines! (Light Novel) Vol. 2","Amamori, Takibi; , Imigimuru","Airship","2024-11-19","Paperback","240","","2","English","9798891603080","","https://www.amazon.com/dp/B0CX8R4Y6L?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51UZIfU+eDL._SL500_.jpg","Summoned to another world to slay the mighty beast...of governance! (Now with an anime!) When the aggressively pragmatic Kazuya Souma is summoned to another world as a hero, he's not given a quest, he's given a kingdom to rule. On top of that, he's betrothed to the previous king's daughter! To get the country back in order, Souma gathers a group of gifted individuals to his side. Will their impressive talents and his own knack for logistics be enough to get the country on its feet again?","","15.99","TV, Movie, Video Game Adaptations","4.19","07/18/2025","","","","","","","","Too Many Losong Heroines"
"Too Many Losing Heroines! (Light Novel) Vol. 3","Amamori, Takibi; , Imigimuru","Airship","2025-02-18","Paperback","264","","3","English","9798891605824","","https://www.amazon.com/dp/B0DB54Y1MT?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51G20Iv-8wL._SL500_.jpg","Summoned to another world to slay the mighty beast...of governance! (Now with an anime!) When the aggressively pragmatic Kazuya Souma is summoned to another world as a hero, he's not given a quest, he's given a kingdom to rule. On top of that, he's betrothed to the previous king's daughter! To get the country back in order, Souma gathers a group of gifted individuals to his side. Will their impressive talents and his own knack for logistics be enough to get the country on its feet again?","","15.99","TV, Movie, Video Game Adaptations","4.22","07/18/2025","","","","","","","","Too Many Losong Heroines"
"Too Many Losing Heroines! (Light Novel) Vol. 4","Amamori, Takibi; , Imigimuru","Airship","2025-05-27","Paperback","240","","4","English","9798891605831","","https://www.amazon.com/dp/B0DFFY64PD?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51lMzW+79kL._SL500_.jpg","Amane lives alone in an apartment, and the most beautiful girl in school,Mahiru, lives just next door. They've almost never spoken-until the day he seesher in distress on a rainy day and lends her his umbrella. To return the favor,she offers him help around the house, and a relationship slowly begins toblossom as the distance between them closes...","","15.99","TV, Movie, Video Game Adaptations","4.20","07/18/2025","","","","","","","","Too Many Losong Heroines"
"Too Many Losing Heroines! (Manga) Vol. 1","Amamori, Takibi; , Imigimuru; , Itachi","Seven Seas","2024-08-20","Paperback","164","","1","English","9798891603097","","https://www.amazon.com/dp/B0CVTD9V5P?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51fKSg5lznL._SL500_.jpg","","","13.99","Action & Adventure","4.09","07/18/2025","","","","","","","","Too Many Losing Heroines (Manga)"
"Too Many Losing Heroines! (Manga) Vol. 2","Amamori, Takibi; , Imigimuru; , Itachi","Seven Seas","2024-12-10","Paperback","172","","2","English","9798891603103","","https://www.amazon.com/dp/B0CXPNBW73?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51y758l2V0L._SL500_.jpg","","","13.01","Romance","4.25","07/18/2025","","","","","","","","Too Many Losing Heroines (Manga)"
"Torture Princess: Fremd Torturchen, Vol. 1 (light novel) (Volume 1) (Torture Princess: Fremd Torturchen (light novel), 1)","Ayasato, Keishi; Ukai, Saki","Yen On","2019-05-21","Paperback","272","異世界拷問姫 (Light Novel)","1","English","9781975304690","","https://www.amazon.com/dp/1975304691?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51rgq-p3qtL._SL500_.jpg","I am the torture princess, Elisabeth Le Fanu.
I am the proud wolf and the lowly sow.

A beautiful woman appears before Kaito Sena following his tragic death and rebirth into another world. Introducing herself as the Torture Princess, she orders him to become her loyal servant. Naturally, his response is...""Hard pass."" And so Elisabeth presents him with two choices-become her butler or be tortured to death. After rethinking his hasty decision, Kaito is forced to wait on Elisabeth hand and foot, as well as aid her in her mission as the Torture Princess, which is the subjugation of the fourteen ranked demons and their contractors. But there's a catch. Once her mission is complete, Elisabeth is fated to die alone-forsaken by heaven, earth, and all of creation.","","13.02","Dark Fantasy","3.78","07/18/2025","","","","","","","","Torture Princess"
"Torture Princess: Fremd Torturchen, Vol. 2 (Torture Princess: Fremd Torturchen, #2)","Ayasato, Keishi","Yen Press LLC","2021-04-27","Paperback","259","異世界拷問姫 (Light Novel)","2","en","9781975304713","","https://www.goodreads.com/book/show/44287528-torture-princess","","","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566257544l/44287528._SX98_.jpg","My name is Hina! I am my beloved master Kaito's eternal lover, his faithful companion, his soldier, his weapon, his love outlet, his sex doll-and his bride!
Hoping to play a larger role in the battles ahead, Kaito begins to dabble in magic-and not a moment too soon! Shortly after Elisabeth, Kaito, and Hina accept an invitation to a bloody banquet and vanquish their host, the Governor, Elisabeth falls victim to a trap laid by the Grand King and has her powers sealed away! With the Torture Princess in her newly weakened state, the Grand King, Fiore, seizes the golden opportunity and leads a dark crusade against Elisabeth's castle, hoping to finish her off once and for all. Only two humble servants remain to stand against the army of one thousand: an immortal groom and his blood-drenched bride...","","","Light-novel","4.15","07/18/2025","","","","","","","","Torture Princess"
"Torture Princess: Fremd Torturchen, Vol. 3 (light novel) (Volume 3) (Torture Princess: Fremd Torturchen (light novel), 3)","Ayasato, Keishi","Yen On","2020-01-28","Paperback","192","異世界拷問姫 (Light Novel)","3","English","9781975304737","","https://www.amazon.com/dp/197530473X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51bQIJdz6yL._SL500_.jpg","「余の悪夢も、もう終わりだな」破滅に向かう反英雄譚、第三弾!

激闘の末、ヴラドの旧友にして『大王』フィオーレを撃破するも、代償は大きかった。ヒナの離脱、櫂人の『皇帝』との契約、そして―――王都壊滅とゴド・デオスの死亡。その報を受け、王都に向かった櫂人とエリザベートが目にしたのは、残る三体の悪魔『君主』『大君主』『王』の契約者が融合し、猛威を振るう悪夢のような惨状だった。「希望など抱くだけ無駄だ。絶望のみを信じよ―――そして、それを砕くために足掻け」綾里けいし×鵜飼沙樹で贈る異世界ダークファンタジーの最高峰、無限惨劇の第三弾。","","13.94","Dark Fantasy","4.31","07/18/2025","","","","","","","","Torture Princess"
"Trinity Seven Revision, Vol. 1 (Trinity Seven Revision, 1)","Nishio, Youichi; Saito, Kenji; Dashiell, Christine; Nao, Akinari","Yen Press","2024-04-16","Paperback","162","Trinity Seven Revision","1","English","9781975389383","","https://www.amazon.com/dp/1975389387?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51BkXfl5lEL._SL500_.jpg","","","9.39","Fantasy","4.08","07/18/2025","","","","","","","","Trinity Seven"
"Victoria of Many Faces, Vol. 1 (manga) (Volume 1) (Victoria of Many Faces (manga), 1)","Ushino, Komo; , syuu; Fujimi, Nanna; McKnight, Andria; González, Oliva Osanz","Yen Press","2025-02-18","Paperback","170","Victoria of Many Faces (Manga)","1","English","9798855405460","","https://www.amazon.com/dp/B0DF72T1K2?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51Lzgpv+mmL._SL500_.jpg","","","10.37","Action & Adventure","4.23","07/18/2025","","","","","","","","Victoria of Many Faces"
"Wait For Me Yesterday in Spring (Light Novel)","Hachimoku, Mei; , Kukka; Ward, Evan","Airship","2022-07-12","Paperback","366","","","English","9781638584094","","https://www.amazon.com/dp/1638584095?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51PrUe41cTL._SL500_.jpg","Childhood friends use time travel to try to avert tragedy in this bittersweet book about growing up, love, and loss—by the creators of the light novel and manga series The Tunnel to Summer, the Exit of Goodbyes (also from Seven Seas) that inspired an anime film.

Two years ago, high schooler Kanae left his small island community of Sodeshima to pursue his academic dreams in Tokyo. When that life falls short of his expectations, he runs away from home to return to Sodeshima and his childhood friend, Akari. But before they can rekindle their old feelings for each other, the clock strikes six and Kanae finds himself inexplicably thrust forward four days into the future. Worse, he learns that Akito, Akari's older brother—and Kanae's childhood hero—is dead.

Except death might not be the end for Akito. As Kanae tries to fill in the four-day gap of his memories, Akari explains: he's about to relive those four days in reverse order in a phenomenon known as ""Rollback."" Kanae himself explained it to her...in a past he hasn't yet experienced. Armed with this new knowledge, Kanae is determined to leverage Rollback however he can to save Akito's life—and Akari's heart.","","12.59","Genre Fiction","4.20","07/15/2025","","","","","","","","One Shots"
